name,Actor,Gender,Hair,Age,Occupation,Family,First Appearance,Last Appearance,Death Episode,Cause of Death,Status,Series Lifespan,Ethnicity
Shumpert,Travis Love,Male,Black,Mid to late 30s,Former Woodbury Guard (Post-Apocalypse),Unknown,"""Walk With Me""","""Live Bait"" (Flashback)","""Dead Weight"" (Confirmed Fate)",Bitten by a walker (Alive)Shot in the head by Caesar Martinez (Before Reanimation),Dead,"	    ""Walk With Me"" to ""Welcome to the Tombs""",African-American
Mr. Jacobson,Randy Woods,Male,White,Mid 50s,Unknown,Unknown,"""Killer Within""","""Internment"" (Zombified)","""Internment"" (Zombified)",The flu (Alive)Stabbed in the head by Glenn Rhee (Zombified),Dead,"	    ""Killer Within"" to ""Internment""",African-American
Karen,Melissa Ponzio,Female,Dark Brown,Mid to late 30s,Teacher (Pre-Apocalypse)Former Woodbury Soldier (Post-ApocalypseFormer guard for the Prison  (Post-Apocalypse),Tyreese Williams - Former Boyfriend (Deceased),"""The Suicide King""","""Consumed"" (Flashback/Corpse)","""Infected""",Stabbed in the head and then later burned by Carol Peletier,Dead,"	    ""The Suicide King"" to ""Infected""",Caucasian-American
Eryn,Eryn Ridings,Female,Brown,8-10,Elementary School Student (Pre-Apocalypse),,"""Welcome to the Tombs""","""30 Days Without An Accident""",,"Killed by the flu, devoured by walkers or during the prison attack.",Dead,,Caucasian-American
Ms. McLeod,Lucie O'Ferrall,Female,Dark Brown,Late 60s to Early 70s,,Unknown,"""Made to Suffer""","""Welcome to the Tombs""",,"Natural causes, shot by The Governor's Militia, devoured by walkers or died of the flu.",Dead,"	    ""Made to Suffer"" to ""Welcome to the Tombs""",Hispanic-American
Milton Mamet,Dallas Roberts,Male,Dark blond,Early to mid 30s,Researcher/Scientist (Pre- and Post-Apocalypse),(Unnamed) - Parents (Deceased),"""Walk With Me""","""Welcome to the Tombs""","""Welcome to the Tombs"" (Alive and Zombified)",Stabbed repeatedly in the abdomen by the Governor and left to bleed out. (Alive)Stabbed in the head by Andrea. (Zombified),Dead,"	    ""Walk With Me"" to ""Welcome to the Tombs""",Caucasian-American
Rowan,Lindsay Abernathy,Female,Brown,Mid to late 20s,Assumed Woodbury Soldier (Post-Apocalypse,Unknown,"""Walk With Me""","""Walk With Me""",,Killed by Philip Blake,Dead,"	    ""Walk With Me""",Caucasian-American
Dr. Stevens,Donzaleigh Abernathy,Female,Black,Late 30s to early 40s,Woodbury Doctor (Pre- and Post-Apocalypse)Assumed Woodbury Soldier (Post-Apocalypse,Unknown,"""Walk With Me""","""Made to Suffer""",,Killed by Philip Blake,Dead,"	    ""Walk With Me"" to ""Made to Suffer",African-American
Eileen,Meaghan Caddy,Female,Blonde,Early to mid 20's,Assumed Woodbury Soldier (Post-Apocalypse,(Unnamed) - HusbandUnborn - Child  (Deceased) ,"""Walk With Me""","""The Suicide King",,Killed by The Governor,Dead,"	    ""Walk With Me"" to ""The Suicide King""",Caucasian-American
Paul,E. Roger Mitchell,Male,Black,Early to mid 40's,Woodbury Soldier (Post-Apocalypse),Unknown,"""The Suicide King""","""Live Bait"" (Flashback, Corpse)","""Welcome to the Tombs""",Shot by Philip Blake,Dead,"	    ""The Suicide King"" to ""Welcome to the Tombs""",African-American
Jody,Tanner Holland,Male,Brown,Mid to late teens,Assumed high school student (Pre-Apocalypse)  Woodbury Soldier (Post-Apocalypse),Unknown,"""Welcome to the Tombs""","""Welcome to the Tombs""","""Welcome to the Tombs""",Shot in the head by Carl Grimes,Dead,,Caucasian-American
Haley,Alexa Nikolas,Female,Brown,Late teens to early 20s,College Student (Pre-apocalypse)Woodbury Guard (Post-apocalypse),(Unnamed) - Father (Deceased)(Unnamed) - Brother  (Deceased),"""Hounded""","""The Suicide King""","""The Suicide King""",Shot in the chest by Maggie.,Dead,"	    ""Hounded"" to ""The Suicide King""",Caucasian-American
Warren,Philip Dido,Male,Dark Brown,Early to mid 30's,Woodbury Guard (Post-Apocalypse),Unknown,"""Made to Suffer""","""Made to Suffer""","""Made to Suffer""",Stabbed in the throat by Maggie Greene,Dead,,Caucasian-American
Gargulio,Dave Randolph-Mayhem Davis,Male,Dark Brown,Late teens to early 20s,Woodbury Guard (Post-Apocalypse),Unknown,"""Hounded""","""Hounded""","""Hounded""",Shot in the head by Merle Dixon.,Dead,,Italian-American
Crowley,Arthur Bridgers,Male,Dark Brown,Early to mid 30s,Woodbury Guard (Post-Apocalypse),Unknown,"""Walk With Me""","""Hounded""","""Hounded""",Decapitated by Michonne (Alive)Stabbed in the head by Gargulio (Before Reanimation),Dead,"	    ""Walk With Me"" to ""Hounded""",Caucasian-American
Philip Blake,David Morrissey,Male,Graying Brown,Mid to Late 40s,Middle-Management Employee (Pre-Apocalypse)Former Leader of Woodbury (Post-Apocalypse)Supply runner for Martinez's Camp (Post-Apocalypse)Former Leader of the River Camp (Post-Apocalypse),Mrs. Blake - Former Wife (Deceased) Penny Blake - Daughter   (Deceased)Andrea - Ex-Girlfriend   (Deceased)Lilly Chambler - Ex-Girlfriend   (Deceased)  (Unnamed) - Brother[1](Unnamed) - Father,"""Walk With Me""","""What Happened and What's Going On"" (Hallucination)","""Too Far Gone""",Stabbed through the back by Michonne (Caused)Shot in the head by Lilly Chambler.,Dead,"	    ""Walk With Me"" to ""Too Far Gone""",Caucasian-American
Penny Blake,Kylie SzymanskiSavana Wehunt (Stunt Double),Female,Brown,11-12,School Student (Pre-Apocalypse),Philip Blake - Father (Deceased)Mrs. Blake - Mother (Deceased)(Unnamed) - Uncle,"""Walk With Me"" (Photograph)","""Live Bait"" (Photograph)","""Made to Suffer"" (Zombified)",Infection (Alive)Stabbed in the head by Michonne (Zombified),Dead,,Caucasian-American
Mrs. Blake,Denise Huth,Female,Blonde,Mid to late 30s,Unknown,Philip Blake - Former Husband  (Deceased)Penny Blake - Daughter (Deceased),"""Walk With Me""  (Photograph)","""Live Bait""  (Photograph)",,Car accident,Dead,,
Mrs. Richards,Leola Williams,Female,Black,Late 60's to early 70's,Unknown,Mr. Richards - Husband (Deceased),"""Walk With Me""","""Too Far Gone""","""Too Far Gone""",Devoured by walkers or shot by the Governor's militia,Dead,"	    ""Walk With Me"" to ""Too Far Gone""",African-American
Mr. Richards,Rob Fitts,Male,White,Mid 60s to early 70s,,Mrs. Richards - Wife (Deceased),"""Made to Suffer""","""Infected""","""Infected""",Bitten by a walker  (Alive)  Stabbed in the head by Glenn Rhee (Zombified),Dead,,Caucasian-American
Richard Foster,Greg Tresan,Male,Gray,Early to mid 50s,Unknown ,Mrs. Foster - Former Wife (Deceased)Unnamed - Daughter (Deceased),"""Walk With Me""","""The Suicide King""","""The Suicide King""",Bitten by walkers (Alive)Shot by The Governor (Before Reanimation),Dead,"	    ""Walk With Me"" to ""The Suicide King""",Caucasian-American
Mrs. Foster,Carol Lane Tresan,Female,Brown,Early to mid 30s,Assumed Woodbury Soldier (Post-Apocalypse ,Richard Foster - Former Husband (Deceased)(Unnamed) - Daughter (Deceased),"""Walk With Me""","""Say the Word""",,,Dead,"	    ""Walk With Me"" to ""Say the Word""",Caucasian-American
Michael Coleman,Peter Kulas,Male,White Gray,Mid 60s to 70s,Unknown,Betty Coleman - Wife (Deceased)Michael Coleman Jr. - Son (Deceased)Emily Coleman - Daughter (Deceased),"""When the Dead Come Knocking""","""When the Dead Come Knocking""","""When the Dead Come Knocking"" (Alive and Zombified)",Prostate cancer (Alive)Stabbed in the head by Andrea (Zombified),Dead,,Caucasian-American
Betty Coleman,Debi Hett-Kimsey,Female,White,Late 60s to early 70s,Assumed Woodbury Soldier (Post-Apocalypse,Michael Coleman - Former Husband (Deceased)Michael Coleman Jr. - Son (Deceased)Emily Coleman - Daughter (Deceased),"""When the Dead Come Knocking"" (Photograph)","""The Suicide King""","""Welcome to the Tombs"" (Off-Screen)",Killed by Philip Blake,Dead,"	    ""When the Dead Come Knocking"" to ""Welcome to the Tombs""",Caucasian-American
Emily Coleman,Unknown,Female,Brown,Late 20s to early 30s,Unknown,Michael Coleman - Father (Deceased)Betty Coleman - Mother  (Deceased)Michael Coleman Jr. - Brother (Deceased),"""When the Dead Come Knocking""  (Photograph)","""When the Dead Come Knocking""  (Photograph)",,Unknown,Dead,,Caucasian-American
Sasha Williams,Sonequa Martin-Green,Female,Dark brown,Early 30s,Firefighter (Pre-Apocalypse)Former Woodbury Guard (Post-Apocalypse)Former Prison Council Member (Post-Apocalypse)Former Supply runner for the prison  (Post-Apocalypse)Former Guard and Marksman for the Alexandria Safe-Zone (Post-Apocalypse),Tyreese Williams - Brother  (Deceased) Bob Stookey - Former Boyfriend (Deceased)Abraham Ford - Former Boyfriend (Deceased),"""Made to Suffer""","""What Comes After"" (Dream)","""The First Day of the Rest of Your Life""","Suicide via ingestion of a cyanide tablet. (Alive)Stabbed in the head by Maggie Rhee. (Zombified, Out of Mercy)",Dead,"	    ""Made to Suffer"" to ""The First Day of the Rest of Your Life""",African-American
Tyreese Williams,Chad Coleman,Male,Black,Late 30s to early 40s,Ex-NFL Player (Pre-Apocalypse)[1]Former Woodbury Guard (Post-Apocalypse)Former Supply runner for the prison  (Post-Apocalypse),Sasha Williams - Sister (Deceased)Karen - Former Girlfriend (Deceased),"""Made to Suffer""","""What Comes After"" (Dream, Corpse)","""What Happened and What's Going On""",Bitten by Noah's zombified brother and later dies from blood loss (Alive)Put down by Michonne (Before Reanimation),Dead,"	    ""Made to Suffer"" to ""What Happened and What's Going On""",African-American
Allen,Daniel Thomas May,Male,Brown,Late 30s,Woodbury Soldier (Post-Apocalypse),Donna - Former Wife (Deceased)Ben - Son (Deceased),"""Made to Suffer""","""Live Bait"" (Flashback, Corpse)","""Welcome to the Tombs""",Shot in the head by The Governor,Dead,"	    ""Made to Suffer"" to ""Welcome to the Tombs""",Caucasian-American
Ben,Tyler Chase,Male,Black,17,Assumed High-School Student (Pre-Apocalypse)  Woodbury Soldier (Post-Apocalypse),Allen - Father (Deceased) Donna - Mother (Deceased),"""Made to Suffer""","""This Sorrowful Life""","'This Sorrowful Life""",Accidentally shot in the shoulder by Merle Dixon.,Dead,"	    ""Made to Suffer"" to ""This Sorrowful Life""",Caucasian-American
Donna,Cherie Dvorak,Female,Brown,Mid to late 30s,Unknown,Allen - Former Husband (Deceased)Ben - Son (Deceased),"""Made to Suffer""","""The Suicide King""  (Corpse) ","""Made to Suffer""",Bitten by a walker (Alive)Put down by Tyreese Williams (Before Reanimation),Dead,,Caucasian-American
Bob Stookey,Lawrence Gilliard Jr.,Male,Black,Early to mid 30s,Army Medic (Pre-Apocalypse),Sasha Williams - Former Girlfriend (Deceased),"""30 Days Without An Accident""","""The Day Will Come When You Won't Be"" (Archive Footage)","""Four Walls and a Roof""",Bitten on the right shoulder by a walker. (Caused)Stabbed in the head by Tyreese Williams. (Before Reanimation),Dead,"	    ""30 Days Without An Accident"" to ""Four Walls and a Roof""",African-American
Julio,Santiago Cirilo,Male,Black,Mid 30s,Mechanic (Pre-Apocalypse),Unknown,"""Internment""","""Too Far Gone""","""Too Far Gone""",Shot in the back by the Governor's militia,Dead,"	    ""Internment"" to ""Too Far Gone""",Hispanic-American
Noris,Jan Harrelson,Male,Brown,Early 40s,Unknown,(Unnamed) - Son (Deceased),"""Infected""","""Internment""","""Internment""",Bitten by his undead son (Alive)Shot in the head by Maggie Greene (Zombified),Dead,"	    ""Infected"" to ""Internment""",Caucasian-American
Caleb Subramanian,Sunkrish Bala,Male,Black,Early 30s,Doctor  (Pre- and Post-Apocalypse) ,Unknown,"""30 Days Without An Accident""","""Internment""","""Internment""","The flu  (Alive, Off-Screen)   Stabbed in the head by Hershel  (Zombified) ",Dead,"	    ""30 Days Without An Accident"" to ""Internment""",Indian-American
David,Brandon Carroll,Male,Brown,Late 20s to early 30s,Former guard for the Prison  (Post-Apocalypse),Unknown,"""30 Days Without An Accident""","""Consumed"" (Flashback/Corpse)","""Infected""",Stabbed in the head and then later burned by Carol Peletier,Dead,"	    ""30 Days Without An Accident"" to ""Infected""",Caucasian-American
Chloe,Jilian McLendon,Female,Brown,Mid 20s,Former guard for the Prison  (Post-Apocalypse),Unknown,"""30 Days Without An Accident""","""A"" (Flashback)","""Infected""",Bitten on the neck by a walker (Alive)Put down by Glenn Rhee (Before Reanimation),Dead,"	    ""30 Days Without An Accident"" to ""Infected""",Caucasian-American
Charlie,Royce Beggs,Male,Brown,Possibly Mid 20's to early 30's,Unknown,Unknown,"""Infected"" (Zombified)","""Infected"" (Zombified)","""Infected"" (Zombified)",The Flu (Alive)Stabbed in the head by Rick Grimes (Zombified),Dead,,Caucasian-American
Patrick,Vincent Martella,Male,Brown,15-17,High school student (Pre-Apocalypse),Unknown,"""30 Days Without An Accident""","""A"" (Flashback)","""30 Days Without An Accident"" (Alive)""Infected"" (Zombified)",Succumbed to the flu (Alive)Shot in the head by Daryl Dixon (Zombified),Dead,,Caucasian-American
Zach,Kyle Gallner,Male,Brown,Late teens to early 20s,College Student (Pre-Apocalypse)Supply runner for the prison (Post-Apocalypse),Beth Greene - Former Girlfriend (Deceased),"""30 Days Without An Accident""","""A"" (Flashback)","""30 Days Without An Accident""",Bitten by a walker and crushed to death by a helicopter.,Dead,,Caucasian-American
Lizzie Samuels,Brighton Sharbino,Female,Dirty Blonde,12,Assumed Grade  School Student (Pre-Apocalypse),Ryan Samuels - Father (Deceased)Mika Samuels - Sister (Deceased)Carol Peletier - Adoptive Mother    (Unnamed) - Mother (Deceased),"""30 Days Without An Accident""","""What Comes After"" (Dream, Corpse)","""The Grove""",Shot in the back of the head by Carol Peletier,Dead,"	    ""30 Days Without An Accident""  to ""The Grove""",Caucasian-American
Mika Samuels,Kyla Kenedy,Female,Blonde,10,Elementary school student (Pre-Apocalypse),Ryan Samuels - Father (Deceased)Lizzie Samuels - Sister (Deceased)(Unnamed) - Mother (Deceased)Carol Peletier - Adoptive Mother,"""30 Days Without An Accident""","""What Comes After"" (Dream, Corpse)","""The Grove""","Stabbed in the stomach by Lizzie Samuels (Alive, Off-Screen)Put down by Carol Peletier (Before Reanimation, Off-Screen)",Dead,"	    ""30 Days Without An Accident"" to ""The Grove""",Caucasian-American
Ryan Samuels,Victor McCay,Male,Brown,Late 30s to early 40s,Unknown,Lizzie Samuels - Daughter (Deceased)Mika Samuels - Daughter (Deceased)  (Unnamed) - Former Wife (Deceased),"""30 Days Without An Accident""","""Infected""","""Infected""",Bitten by a walker in the nape and the arm (Alive)Put down by Carol Peletier (Before Reanimation),Dead,"	    ""30 Days Without An Accident"" to ""Infected""",Caucasian-American
Sam,Robin Lord Taylor,Male,Blond,Early to mid 20s,Unknown,Ana - Former Girlfriend (Deceased),"""Indifference""","""No Sanctuary""","""No Sanctuary""",Throat slit by an unnamed butcher.,Dead,"	    ""Indifference"" to ""No Sanctuary""",Caucasian-American
Christopher,Cameron Deane Stewart,Male,Brown,Early 20s,Unknown,(Unnamed) - Father (Deceased),"""Inmates""","""Inmates""","""Inmates""",Devoured by walkers.,Dead,,Caucasian-American
Ana,Brina Palencia,Female,Brown,Early to mid 20s,Unknown,Sam - Former Boyfriend (Deceased),"""Indifference""","""Indifference""","""Indifference""",Leg chopped off and body devoured by walkers.,Dead,,Caucasian-American
Clara,Kerry Condon,Female,Dark Brown,Early 30s,Unknown,Eddie - Former Husband (Deceased),"""30 Days Without An Accident""","""Inmates"" (Zombified)","""30 Days Without An Accident""",Stabbed herself in the abdomen. (Alive),Undead,,Caucasian-Irish
Tara Chambler,Alanna Masterson,Female,Dark brown,Early to mid 30s,Police Academy Student (Pre-Apocalypse)Former Governor's Militia Soldier (Post-Apocalypse)Former Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse)Former road patrol between the joint communities  (Post-Apocalypse)De-Facto Leader of the Hilltop Colony (Post-Apocalypse)Assisstant Nurse for the Hilltop Colony (Post-Apocalypse),David Chambler - Father (Deceased)Lilly Chambler - Sister (Deceased)Meghan Chambler - Niece  (Deceased)Sam - Ex-GirlfriendAlisha - Former Girlfriend (Deceased)Denise Cloyd - Former Girlfriend (Deceased)(Unnamed) - Brother-In-Law,"""Live Bait"" (Flashback)",,,,Alive,"	    ""Live Bait"" to Present",Caucasian-American
Lilly Chambler,Audrey Marie Anderson,Female,Brown,Mid to late 30s,Nurse  (Pre-Apocalypse),David Chambler - Father (Deceased)Tara Chambler - Sister Meghan Chambler - Daughter (Deceased)Philip Blake - Ex-Boyfriend  (Deceased)(Unnamed) - Husband,"""Live Bait"" (Flashback)","""Too Far Gone""","""Too Far Gone"" (Off-Screen)""Inmates"" (Confirmed Fate)",Surrounded and then devoured by walkers. (Off-Screen),Dead,"	    ""Live Bait"" to ""Too Far Gone""",Caucasian-American
Meghan Chambler,Meyrick Murphy,Female,Blonde,7,Elementary school student (Pre-Apocalypse),David Chambler - Grandfather   (Deceased)Lilly Chambler - Mother  (Deceased)Tara Chambler - Aunt,"""Live Bait"" (Flashback)","""Too Far Gone""","""Too Far Gone""",Bitten by a walker (Alive)Shot in the head by the Governor (Before Reanimation),Dead,"	    ""Live Bait"" to ""Too Far Gone""",Caucasian-American
David Chambler,Danny Vinson,Male,Brown-Gray,Early to mid 60s,Former Army veteran (Pre-Apocalypse)Former truck driver for Gorbelli Foods Company (Pre-Apocalypse),Lilly Chambler - Daughter (Deceased)   Tara Chambler - DaughterMeghan Chambler - Granddaughter (Deceased),"""Live Bait"" (Flashback)","""Live Bait"" (Flashback)","""Live Bait"" (Alive and Zombified)",Lung cancer (Alive)Head smashed in with an oxygen tank by Philip Blake (Zombified),Dead,,Caucasian-American
Howard,,Male,Grey,Late 70's,Unknown,Unknown,"""Dead Weight""","""Too Far Gone""",,,Unknown,"	    ""Dead Weight"" to ""Too Far Gone""",African-American
Alisha,Juliana Harkavy,Female,Brown,Mid to Late 20s,Army Reserves  (Pre-Apocalypse)  Governor's militia soldier (Post-Apocalypse),Tara Chambler - Former Girlfriend,"""Dead Weight""","""Inmates"" (Corpse)","""Too Far Gone""",Shot in the head by Lizzie Samuels,Dead,"	    ""Dead Weight"" to ""Too Far Gone""",Caucasian-American
Mitch Dolgen,Kirk Acevedo,Male,Brown,Mid 30s to early 40s,Ice-cream Truck Driver (Pre-Apocalypse) Tank operator (Pre and Post-Apocalypse)Supply runner for Martinez's Camp (Post-Apocalypse)Governor's militia lieutenant (Post-Apocalypse),Pete Dolgen - Brother (Deceased),"""Dead Weight""","""Too Far Gone""","""Too Far Gone""",Shot in the heart with an arrow by Daryl Dixon,Dead,"	    ""Dead Weight"" to ""Too Far Gone""",Caucasian-American
Pete Dolgen,Enver Gjokaj,Male,Black,Mid 30s,Army Soldier (Pre-Apocalypse)Supply runner for Martinez's Camp (Post-Apocalypse)Temporary de-facto leader of Martinez's Camp (Post-Apocalypse),Mitch Dolgen - Brother (Deceased),"""Dead Weight""","""Dead Weight""","""Dead Weight""",Stabbed and strangled by Philip Blake (Alive),Undead,,Caucasian-American
Eugene Porter,Josh McDermitt,Male,Dark Brown,Late 30s to Early 40s,Engineer for the Alexandria Safe-Zone (Post-Apocalypse)Former Chief Engineer for the Sanctuary (Post-Apocalypse)Former Head of the Bullet Factory Outpost (Post-Apocalypse),Unknown,"""Inmates""",,,,Alive,"	    ""Inmates"" to Present",Caucasian-American
Rosita Espinosa,Christian Serratos,Female,Black,Late 20s to Early 30s,Former Medical Assistant at the Alexandria Safe-Zone (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse)Biofuel producer (Post-Apocalypse)Road patrol between the joint communities (Post-Apocalypse),Abraham Ford - Ex-Boyfriend (Deceased)Spencer Monroe - Ex-Lover (Deceased)Gabriel Stokes - Boyfriend(Unnamed) - Nephew(Unnamed) - Brother,"""Inmates""",,,,Alive,"	    ""Inmates"" to Present",Hispanic-American
Abraham Ford,Michael Cudlitz,Male,Red,Late 40s to early 50s,U.S. Army Sergeant (Pre-Apocalypse)Construction Foreman for the Alexandria Safe-Zone (Post-Apocalypse),Ellen Ford - Former Wife (Deceased)A.J. Ford - Son (Deceased)Becca Ford - Daughter (Deceased)Rosita Espinosa - Ex-GirlfriendSasha Williams - Former Girlfriend (Deceased),"""Inmates""","""What Comes After"" (Voice and Dream, Corpse)","""Last Day on Earth"" (Off-Screen)","Head smashed by Negan using his baseball bat, Lucille.",Dead,"	    ""Inmates"" to ""The Day Will Come When You Won't Be""",Caucasian-American
Ellen Ford,Andrea Moore,Female,Dark brown,Early to mid 30s,Unknown,Abraham Ford - Former Husband (Deceased)A.J. Ford - Son (Deceased)Becca Ford - Daughter (Deceased),"""Self Help"" (Flashback)","""Self Help"" (Flashback)","""Self Help"" (Flashback)",Devoured by walkers,Dead,,Caucasian-American
A.J. Ford,Drake Ethan Light,Male,Red,10,Assumed elementary school student (Pre-Apocalypse),Abraham Ford - Father (Deceased) Ellen Ford - Mother (Deceased) Becca Ford - Sister (Deceased),"""Self Help"" (Flashback)","""Self Help"" (Flashback)","""Self Help"" (Flashback)",Devoured by walkers,Dead,,Caucasian-American
Becca Ford,Unknown,Female,Auburn,Possibly 5-10,Elementary school student (Pre-Apocalypse),Abraham Ford - Father (Deceased)Ellen Ford - Mother (Deceased) A.J. Ford - Brother (Deceased),"""Self Help"" (Flashback)","""Self Help"" (Flashback)","""Self Help"" (Flashback)",Devoured by walkers,Dead,,Caucasian-American
Dan,Keith Brooks,Male,Brown,Mid 40s,Unknown,Unknown,"""Alone""","""A""","""A""",Disemboweled and then repeatedly stabbed to death by Rick Grimes.,Dead,"	    ""Alone"" to ""A""",Caucasian-American
Billy,Eric Mendenhall,Male,Brown,Early 30s,Unknown,Unknown,"""Alone""","""A""","""A""",Stomped repeatedly in the head by Daryl Dixon.,Dead,"	    ""Alone"" to ""A""",Caucasian-American
Harley,JD Evermore,Male,Grey,Mid 40s,Unknown,Unknown,"""Claimed"" (Voice Only)""Alone""","""A""","""A""",Shot in the head by Michonne.,Dead,"	    ""Claimed"" to ""A""",Caucasian-American
Joe,Jeff Kober,Male,Gray,Mid 50s,Mechanic  (Pre-Apocalypse)Leader of the Claimers  (Post-Apocalypse),Unknown,"""Claimed"" (TV Series)""Made to Suffer"" (Webisodes)","""A""","""A""",Neck bitten and jugular ripped out by Rick Grimes.,Dead,"	    ""Claimed"" to ""A""",Caucasian-American
Len,Marcus Hester,Male,Brown,Mid 30s,Unknown,Unknown,"""Claimed""","""Us""","""Us""",Beaten to death by the Claimers (Alive) Shot through the head with an arrow (Before Reanimation),Dead,"	    ""Claimed"" to ""Us""",Caucasian-American
Lou,Scott Dale,Male,Gray,Mid to late 40s,Unknown,Unknown,"""Claimed""","""Claimed""","""Claimed""  (Alive and Zombified)",Strangled by Rick Grimes (Alive) Put down by the Claimers (Zombified),Dead,,Caucasian
Martin,Chris Coy,Male,Black,Late 20s,Unknown,Unknown,"""No Sanctuary""","""What Happened and What's Going On"" (Hallucination)","""Four Walls and a Roof""",Stabbed to death by Sasha Williams.,Dead,"	    ""No Sanctuary"" to ""Four Walls and a Roof""",Caucasian-American
Theresa,April Billingsley,Female,Black,Early 30s,Unknown,Unknown,"""Strangers""","""Forget"" (Archive Footage)","""Four Walls and a Roof""",Head bashed in by Michonne,Dead,"	    ""Strangers"" to ""Four Walls and a Roof""",Caucasian-American
Albert,Benjamin Papac,Male,Dark Brown,Early 20s,Former security at Terminus (Post-Apocalypse),Unknown,"""Strangers""","""Four Walls and a Roof""","""Four Walls and a Roof""",Shot in the head by Rick Grimes,Dead,"	    ""Strangers"" to ""Four Walls and a Roof""",Caucasian-American
Gareth,Andrew J. West,Male,Brown,Mid to late 20s,Leader of Terminus (Post-Apocalypse),Mary - Mother (Deceased)Alex - Brother (Deceased),"""A""","""What Happened and What's Going On"" (Flashback, Corpse)","""Four Walls and a Roof""",Hacked to death by Rick Grimes,Dead,"	    ""A"" to ""Four Walls and a Roof""",Caucasian-American
Mary,Denise Crosby,Female,Auburn,Mid to late 50s,Unknown,Gareth - Son (Deceased)Alex - Son (Deceased),"""Us""","""No Sanctuary""","""No Sanctuary""",Shot in the leg by Carol and then devoured by oncoming walkers.,Dead,"	    ""Us"" to ""No Sanctuary""",Caucasian-American
Alex,Tate Ellington,Male,Black,Mid to late 20s,Unknown,Gareth - Brother (Deceased)Mary - Mother (Deceased),"""A""","""No Sanctuary"" (Flashback/Corpse)","""A""",Accidentally shot in the head by a Terminus resident,Dead,,Caucasian-American
Gabriel Stokes,Seth Gilliam,Male,"Black (Graying, Bald)",Early to Mid 50s,Priest (Pre- and Post-Apocalypse) Former Lookout for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Councilmember for the Alexandria Safe-Zone (Post-Apocalypse),Anne - Ex-LoverRosita Espinosa - Girlfriend,"""Strangers""",,,,Alive,"	    ""Strangers"" to Present",African-American
Steven Edwards,Erik Jensen,Male,Light brown,Late 30s,Internal Medicine Doctor (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Coda""",,,Unknown,"	    ""Slabtown"" to ""Coda""",Caucasian-American
Tanaka,Jarod Thompson,Male,Black,Early 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Coda""",,,Unknown,"	    ""Slabtown"" to ""Coda""",Japanese-American
Alvarado,Sammy Hadid,Male,Black,Early to mid 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Coda""",,,Unknown,"	    ""Slabtown"" to ""Coda""",Hispanic-American
Amanda Shepherd,Teri Wyble,Female,Brown,Late 20s to early 30s,Police officer (Pre- and Post-Apocalypse)Leader of Grady Memorial Hospital (Post-Apocalypse),Unknown,"""Slabtown""","""Coda""",,,Unknown,"	    ""Slabtown"" to ""Coda""",Caucasian-American
Bello,Amber Dawn Fox,Female,Brown,Late 20s to early 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Coda""",,,Unknown,"	    ""Slabtown"" to ""Coda""",Caucasian-American
Licari,Christopher Matthew Cook,Male,Brown,Mid 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Crossed""","""Coda""",,,Unknown,"	    ""Crossed"" to ""Coda""",Caucasian-American
Percy,Marc Gowan,Male,Gray,60s to 70s,Unknown,Unknown,"""Crossed""","""Coda""",,,Unknown,"	    ""Crossed"" to ""Coda""",Caucasian-American
McGinley,Kyle Clements,Male,Brown,Late 20s to early 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Coda""","""Coda""",,,Unknown,"	    ""Coda""",Caucasian-American
Franco,Rico Ball,Male,Brown,Late 20s to early 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Coda""","""Coda""",,,Unknown,"	    ""Coda""",African-American
Dawn Lerner,Christine Woods,Female,Dark Brown,Mid 30s,Lieutenant of Atlanta Police Department (Pre- and Post-Apocalypse)Former Leader of Grady Memorial Hospital (Post-Apocalypse),Unknown,"""Slabtown""","""Coda""","""Coda""",Shot in the head by Daryl Dixon.,Dead,"	    ""Slabtown"" to ""Coda""",Caucasian-American
O'Donnell,Ricky Wayne,Male,Brown,Early to mid 40s,Police officer - Sergeant (Pre- and Post-Apocalypse),(Unnamed) - Wife(Unnamed) - Child,"""Slabtown""","""Coda""","""Coda""",Pushed down an elevator shaft by Beth Greene,Dead,"	    ""Slabtown"" to ""Coda""",Irish-American
Bob Lamson,Maximiliano Hernandez,Male,Bald,Late 30s,Police officer - Sergeant (Pre- and Post-Apocalypse)Guard at Grady Memorial Hospital (Post-Apocalypse),(Unnamed) - Son,"""Crossed""","""Coda""","""Coda""",Hit by car then shot in the head by Rick Grimes,Dead,"	    ""Crossed"" to ""Coda""",Hispanic-American
